2025-06-20 15:32:29,290 INFO    MainThread:2718584 [wandb_setup.py:_flush():81] Current SDK version is 0.20.1
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_setup.py:_flush():81] Configure stats pid to 2718584
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_setup.py:_flush():81] Loading settings from /home/ajinkyar/.config/wandb/settings
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_setup.py:_flush():81] Loading settings from /home/ajinkyar/projects/TestRepo_MsThesis_Ajinkya/week3/wandb/settings
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_setup.py:_flush():81] Loading settings from environment variables
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/ajinkyar/projects/TestRepo_MsThesis_Ajinkya/week3/wandb/run-20250620_153229-nyc2xax7/logs/debug.log
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/ajinkyar/projects/TestRepo_MsThesis_Ajinkya/week3/wandb/run-20250620_153229-nyc2xax7/logs/debug-internal.log
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_init.py:init():831] calling init triggers
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_init.py:init():836] wandb.init called with sweep_config: {'alpha_1': 0.09479989971721384, 'alpha_2': 0.02684965750880129, 'alpha_3': 0.0018185463865242292, 'batch_size': 64, 'beta_1': 0.35550814987336543, 'beta_2': 0.5854120354263832, 'beta_3': 0.4750448792615199, 'datasetpath': '/home/ajinkyar/datasets', 'device': 'cuda:0', 'epochs': 30, 'gamma_1': 0.15081352383350496, 'gamma_2': 0.43456550774803093, 'gamma_3': 0.1607163803925055, 'lr': 0.002099488487387982, 'momentum': 0.5718293789364416, 'seed': 42, 'timesteps': 15, 'training_condition': 'pc_train'}
config: {'_wandb': {}}
2025-06-20 15:32:29,291 INFO    MainThread:2718584 [wandb_init.py:init():872] starting backend
2025-06-20 15:32:29,501 INFO    MainThread:2718584 [wandb_init.py:init():875] sending inform_init request
2025-06-20 15:32:29,506 INFO    MainThread:2718584 [wandb_init.py:init():883] backend started and connected
2025-06-20 15:32:29,507 INFO    MainThread:2718584 [wandb_run.py:_config_callback():1358] config_cb None None {'alpha_1': 0.09479989971721384, 'alpha_2': 0.02684965750880129, 'alpha_3': 0.0018185463865242292, 'batch_size': 64, 'beta_1': 0.35550814987336543, 'beta_2': 0.5854120354263832, 'beta_3': 0.4750448792615199, 'datasetpath': '/home/ajinkyar/datasets', 'device': 'cuda:0', 'epochs': 30, 'gamma_1': 0.15081352383350496, 'gamma_2': 0.43456550774803093, 'gamma_3': 0.1607163803925055, 'lr': 0.002099488487387982, 'momentum': 0.5718293789364416, 'seed': 42, 'timesteps': 15, 'training_condition': 'pc_train'}
2025-06-20 15:32:29,509 INFO    MainThread:2718584 [wandb_init.py:init():956] updated telemetry
2025-06-20 15:32:29,516 INFO    MainThread:2718584 [wandb_init.py:init():980] communicating run to backend with 90.0 second timeout
2025-06-20 15:32:30,006 INFO    MainThread:2718584 [wandb_init.py:init():1032] starting run threads in backend
2025-06-20 15:32:30,072 INFO    MainThread:2718584 [wandb_run.py:_console_start():2453] atexit reg
2025-06-20 15:32:30,072 INFO    MainThread:2718584 [wandb_run.py:_redirect():2301] redirect: wrap_raw
2025-06-20 15:32:30,072 INFO    MainThread:2718584 [wandb_run.py:_redirect():2370] Wrapping output streams.
2025-06-20 15:32:30,072 INFO    MainThread:2718584 [wandb_run.py:_redirect():2393] Redirects installed.
2025-06-20 15:32:30,075 INFO    MainThread:2718584 [wandb_init.py:init():1078] run started, returning control to user process
2025-06-20 15:32:30,247 INFO    MsgRouterThr:2718584 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
