"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Alpha_layer0","Alpha_layer1","Alpha_layer2","Alpha_layer3","Batch_size","Beta_layer0","Beta_layer1","Beta_layer2","Beta_layer3","Gamma_layer0","Gamma_layer1","Gamma_layer2","Gamma_layer3","Model_Name","architecture","dataset","epochs","learning_rate","momentum","noise_param","noise_type","timesteps","Accuracy","Time Taken to Run the Code(Mins)","Timestep","chance_level"
"fffb_model_control","finished","-","","","2025-07-08T08:18:53.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","68.49","0.27411851088205974","10","10"
"pc_model_control","finished","-","","","2025-07-08T08:18:29.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","68.49","0.27465606133143106","10","10"
"ff_fb_model_Parallel_part_a_gauss_0.8","finished","-","","","2025-07-08T08:18:05.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","47.35","0.277941906452179","10","10"
"ff_fb_model_Parallel_part_a_gauss_0.60","finished","-","","","2025-07-08T08:17:41.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","51.36","0.27645123402277627","10","10"
"ff_fb_model_Parallel_part_a_gauss_0.4","finished","-","","","2025-07-08T08:17:17.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","54.95","0.27396003405253094","10","10"
"ff_fb_model_Parallel_part_a_gauss_0.2","finished","-","","","2025-07-08T08:16:53.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","57.61","0.2752502719561259","10","10"
"ff_fb_model_Parallel_part_a_gauss_0.0","finished","-","","","2025-07-08T08:16:30.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","58.58","0.27346452871958415","10","10"
"ff_fb_model_Parallel_part_a_sp_0.060","finished","-","","","2025-07-08T08:16:06.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","44.04","0.27215165297190347","10","10"
"ff_fb_model_Parallel_part_a_sp_0.040","finished","-","","","2025-07-08T08:15:42.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","48.37","0.27459627787272134","10","10"
"ff_fb_model_Parallel_part_a_sp_0.020","finished","-","","","2025-07-08T08:15:18.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","53.43","0.27059444586435955","10","10"
"ff_fb_model_Parallel_part_a_sp_0.000","finished","-","","","2025-07-08T08:14:54.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","ff_fb_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","58.58","0.2704296867052714","10","10"
"pc_model_Parallel_part_a_gauss_0.8","finished","-","","","2025-07-08T08:14:29.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","32.64","0.28233075539271035","10","10"
"pc_model_Parallel_part_a_gauss_0.60","finished","-","","","2025-07-08T08:14:05.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","43.61","0.27383241256078084","10","10"
"pc_model_Parallel_part_a_gauss_0.4","finished","-","","","2025-07-08T08:13:40.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","56.32","0.27527109781901044","10","10"
"pc_model_Parallel_part_a_gauss_0.2","finished","-","","","2025-07-08T08:13:17.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","66.51","0.2715704123179118","10","10"
"pc_model_Parallel_part_a_gauss_0.0","finished","-","","","2025-07-08T08:12:53.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","69.32","0.2718560814857483","10","10"
"pc_model_Parallel_part_a_sp_0.060","finished","-","","","2025-07-08T08:12:29.000Z","17","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","34.71","0.265762992699941","10","10"
"pc_model_Parallel_part_a_sp_0.040","finished","-","","","2025-07-08T08:12:06.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","42.45","0.26908449331919354","10","10"
"pc_model_Parallel_part_a_sp_0.020","finished","-","","","2025-07-08T08:11:42.000Z","16","","0.01","0.01","0.01","0.01","128","0.13","0.28","0.43","0.33","0.13","0.28","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","53.6","0.26492315928141275","10","10"
