"Name","State","Notes","User","Tags","Created","Runtime","Sweep","Alpha_layer0","Alpha_layer1","Alpha_layer2","Alpha_layer3","Batch_size","Beta_layer0","Beta_layer1","Beta_layer2","Beta_layer3","Gamma_layer0","Gamma_layer1","Gamma_layer2","Gamma_layer3","Model_Name","architecture","dataset","epochs","learning_rate","momentum","noise_param","noise_type","timesteps","Accuracy","Time Taken to Run the Code(Mins)","Timestep","chance_level"
"Beta_layer0_perturbation_0.53_gauss_0.40","finished","-","","","2025-07-04T15:20:49.000Z","17","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","48.48","0.27100561062494916","10","10"
"Beta_layer0_perturbation_0.53_sp_0.04","finished","-","","","2025-07-04T15:12:48.000Z","16","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","36.9","0.27349421977996824","10","10"
"Beta_layer0_perturbation_0.53_sp_0.00","finished","-","","","2025-07-04T15:08:48.000Z","16","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","62.37","0.27210141023000084","10","10"
"Beta_layer0_perturbation_0.53_sp_0.06","finished","-","","","2025-07-04T15:14:47.000Z","17","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","32.44","0.2714774568875631","10","10"
"Beta_layer0_perturbation_0.53_sp_0.02","finished","-","","","2025-07-04T15:10:48.000Z","16","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","45.14","0.26963765223821007","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T15:22:50.000Z","16","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","37.51","0.27272960742314656","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T15:16:48.000Z","16","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","62.37","0.2762961030006409","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:24:49.000Z","17","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","29.89","0.2748284737269084","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.20","finished","-","","","2025-07-04T15:18:49.000Z","17","","0.01","0.01","0.01","0.01","128","0.53","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","58.93","0.27361539204915364","10","10"
"Beta_layer0_perturbation_0.43_sp_0.02","finished","-","","","2025-07-04T15:10:24.000Z","16","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.02","s&p","10","48.86","0.27107863426208495","10","10"
"Beta_layer0_perturbation_0.43_sp_0.04","finished","-","","","2025-07-04T15:12:24.000Z","16","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","39.63","0.2710390249888102","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.40","finished","-","","","2025-07-04T15:20:25.000Z","17","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","52.27","0.2785738269488017","10","10"
"Beta_layer0_perturbation_0.43_sp_0.00","finished","-","","","2025-07-04T15:08:24.000Z","17","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","s&p","10","66.3","0.2703598181406657","10","10"
"Beta_layer0_perturbation_0.43_sp_0.06","finished","-","","","2025-07-04T15:14:24.000Z","16","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","34.07","0.2698585073153178","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:24:26.000Z","16","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","31.66","0.27133648792902626","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.20","finished","-","","","2025-07-04T15:18:25.000Z","17","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.2","gauss","10","63.02","0.2852859258651733","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T15:16:23.000Z","17","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","66.3","0.2757326285044352","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T15:22:25.000Z","17","","0.01","0.01","0.01","0.01","128","0.43","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","40.91","0.27506519158681236","10","10"
"Beta_layer1_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:42:46.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.53","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","32.6","0.27395570278167725","10","10"
"Beta_layer0_perturbation_0.53_gauss_0.60","finished","-","","","2025-07-04T15:22:01.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","42.66","0.2723982572555542","10","10"
"Gamma_layer_1_perturbation_0.13_sp_0.06","finished","-","","","2025-07-04T14:19:12.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.13","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","33.15","0.2739881157875061","10","10"
"Beta_layer2_perturbation_0.53_gauss_0.00","finished","-","","","2025-07-04T15:51:31.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.23","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","68.49","0.2728627721468608","10","10"
"Gamma_layer_1_perturbation_0.53_sp_0.06","finished","-","","","2025-07-04T14:20:48.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.53","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.06","s&p","10","31.4","0.2737400770187378","10","10"
"Gamma_layer_0_perturbation_0.23_gauss_0.40","finished","-","","","2025-07-04T14:07:25.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.23","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.4","gauss","10","53.21","0.27273583014806113","10","10"
"Gamma_layer_3_perturbation_0.23_gauss_0.60","finished","-","","","2025-07-04T15:03:36.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.33","0.23","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.6000000000000001","gauss","10","42.4","0.27133443355560305","10","10"
"Gamma_layer_2_perturbation_0.43_gauss_0.00","finished","-","","","2025-07-04T14:40:23.000Z","17","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.43","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0","gauss","10","68.14","0.2725134054819743","10","10"
"Gamma_layer_2_perturbation_0.13_sp_0.04","finished","-","","","2025-07-04T14:35:13.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.33","0.33","0.33","0.33","0.33","0.13","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.04","s&p","10","39.92","0.27376449505488076","10","10"
"Beta_layer1_perturbation_0.53_gauss_0.80","finished","-","","","2025-07-04T15:41:11.000Z","16","","0.01","0.01","0.01","0.01","128","0.33","0.13","0.33","0.33","0.33","0.33","0.33","0.33","pc_model","CNN","CIFAR-10","70","0.001","0.9","0.8","gauss","10","28.22","0.2755463322003682","10","10"
