2025-07-29 14:55:09,745 INFO    MainThread:2473290 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_setup.py:_flush():80] Configure stats pid to 2473290
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_setup.py:_flush():80] Loading settings from /home/ajinkya/.config/wandb/settings
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_setup.py:_flush():80] Loading settings from /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week5/wandb/settings
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week5/wandb/run-20250729_145509-cd92dj6x/logs/debug.log
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week5/wandb/run-20250729_145509-cd92dj6x/logs/debug-internal.log
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_init.py:init():830] calling init triggers
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.005, 'architecture': 'CNN', 'dataset': 'CIFAR-10', 'epochs': 20, 'Batch_size': 128, 'momentum': 0.9, 'timesteps': 10, 'training_condition': 'recon_train', 'Model_Name': 'reconstruction_no_pc', 'Gamma_layer0': 0.33, 'Gamma_layer1': 0.33, 'Gamma_layer2': 0.33, 'Gamma_layer3': 0.33, 'Beta_layer0': 0.33, 'Beta_layer1': 0.33, 'Beta_layer2': 0.33, 'Beta_layer3': 0.33, 'Alpha_layer0': 0.01, 'Alpha_layer1': 0.01, 'Alpha_layer2': 0.01, 'Alpha_layer3': 0.01, 'noise_type': 's&p', 'noise_param': 0.0, '_wandb': {}}
2025-07-29 14:55:09,746 INFO    MainThread:2473290 [wandb_init.py:init():871] starting backend
2025-07-29 14:55:09,954 INFO    MainThread:2473290 [wandb_init.py:init():874] sending inform_init request
2025-07-29 14:55:09,960 INFO    MainThread:2473290 [wandb_init.py:init():882] backend started and connected
2025-07-29 14:55:09,965 INFO    MainThread:2473290 [wandb_init.py:init():953] updated telemetry
2025-07-29 14:55:09,974 INFO    MainThread:2473290 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-07-29 14:55:10,529 INFO    MainThread:2473290 [wandb_init.py:init():1029] starting run threads in backend
2025-07-29 14:55:10,585 INFO    MainThread:2473290 [wandb_run.py:_console_start():2458] atexit reg
2025-07-29 14:55:10,585 INFO    MainThread:2473290 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-07-29 14:55:10,585 INFO    MainThread:2473290 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-07-29 14:55:10,585 INFO    MainThread:2473290 [wandb_run.py:_redirect():2398] Redirects installed.
2025-07-29 14:55:10,588 INFO    MainThread:2473290 [wandb_init.py:init():1075] run started, returning control to user process
2025-07-29 14:55:14,381 INFO    MainThread:2473290 [wandb_watch.py:_watch():70] Watching
2025-07-29 15:08:02,647 INFO    MsgRouterThr:2473290 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
