2025-09-09 12:00:05,485 INFO    MainThread:4104879 [wandb_setup.py:_flush():80] Current SDK version is 0.21.0
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_setup.py:_flush():80] Configure stats pid to 4104879
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_setup.py:_flush():80] Loading settings from /home/ajinkya/.config/wandb/settings
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_setup.py:_flush():80] Loading settings from /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week8/wandb/settings
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_setup.py:_flush():80] Loading settings from environment variables
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_init.py:setup_run_log_directory():703] Logging user logs to /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week8/wandb/run-20250909_120005-hf0kybtn/logs/debug.log
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_init.py:setup_run_log_directory():704] Logging internal logs to /home/ajinkya/projects/TestRepo_MsThesis_Ajinkya/week8/wandb/run-20250909_120005-hf0kybtn/logs/debug-internal.log
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_init.py:init():830] calling init triggers
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_init.py:init():835] wandb.init called with sweep_config: {}
config: {'learning_rate': 5e-05, 'architecture': 'CNN', 'dataset': 'CIFAR-10', 'epochs': 10, 'Batch_size': 40, 'momentum': 0.9, 'timesteps': 10, 'training_condition': None, 'Model_Name': 'pc_class_train_balanced', 'Gamma_layer0': 0.63, 'Gamma_layer1': 0.63, 'Gamma_layer2': 0.63, 'Gamma_layer3': 0.63, 'Beta_layer0': 0.23, 'Beta_layer1': 0.23, 'Beta_layer2': 0.23, 'Beta_layer3': 0.23, 'Alpha_layer0': 0.046, 'Alpha_layer1': 0.046, 'Alpha_layer2': 0.046, 'Alpha_layer3': 0.046, 'noise_type': 's&p', 'noise_param': 0.0, '_wandb': {}}
2025-09-09 12:00:05,486 INFO    MainThread:4104879 [wandb_init.py:init():871] starting backend
2025-09-09 12:00:05,698 INFO    MainThread:4104879 [wandb_init.py:init():874] sending inform_init request
2025-09-09 12:00:05,704 INFO    MainThread:4104879 [wandb_init.py:init():882] backend started and connected
2025-09-09 12:00:05,709 INFO    MainThread:4104879 [wandb_init.py:init():953] updated telemetry
2025-09-09 12:00:05,715 INFO    MainThread:4104879 [wandb_init.py:init():977] communicating run to backend with 90.0 second timeout
2025-09-09 12:00:06,539 INFO    MainThread:4104879 [wandb_init.py:init():1029] starting run threads in backend
2025-09-09 12:00:06,620 INFO    MainThread:4104879 [wandb_run.py:_console_start():2458] atexit reg
2025-09-09 12:00:06,620 INFO    MainThread:4104879 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-09-09 12:00:06,620 INFO    MainThread:4104879 [wandb_run.py:_redirect():2375] Wrapping output streams.
2025-09-09 12:00:06,620 INFO    MainThread:4104879 [wandb_run.py:_redirect():2398] Redirects installed.
2025-09-09 12:00:06,624 INFO    MainThread:4104879 [wandb_init.py:init():1075] run started, returning control to user process
2025-09-09 12:00:09,757 INFO    MainThread:4104879 [wandb_watch.py:_watch():70] Watching
2025-09-09 12:00:09,854 INFO    MsgRouterThr:4104879 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
